threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,business_utility
0.30000000000000004,0.7815938646215406,0.5067729083665339,0.47927656367746796,0.49264136328427577,0.752910380182553,0.5017198042461094,4052,619,691,636,-2200
0.25,0.7514171390463488,0.44938271604938274,0.5486058779201206,0.49406175771971494,0.752910380182553,0.5017198042461094,3779,892,599,728,-10800
0.35000000000000003,0.7899299766588863,0.5326192794547225,0.41220798794272795,0.4647408666100255,0.752910380182553,0.5017198042461094,4191,480,780,547,-18900
0.4,0.7967655885295098,0.5612244897959183,0.3730218538055765,0.4481665912177456,0.752910380182553,0.5017198042461094,4284,387,832,495,-26300
0.45,0.7995998666222074,0.5823451910408433,0.33308214016578747,0.42377756471716205,0.752910380182553,0.5017198042461094,4354,317,885,442,-38800
0.5,0.8072690896965655,0.6368,0.29992464204973623,0.4077868852459016,0.752910380182553,0.5017198042461094,4444,227,929,398,-42800
0.2,0.6912304101367123,0.3832814584259671,0.6495855312735493,0.48210290827740493,0.752910380182553,0.5017198042461094,3284,1387,465,862,-42800
0.55,0.8056018672890963,0.6575342465753424,0.2532027128862095,0.36561479869423286,0.752910380182553,0.5017198042461094,4496,175,991,336,-63400
0.6000000000000001,0.8036012004001334,0.6976127320954907,0.19819140919366993,0.3086854460093897,0.752910380182553,0.5017198042461094,4557,114,1064,263,-87700
0.65,0.7994331443814605,0.7313432835820896,0.14770158251695553,0.2457680250783699,0.752910380182553,0.5017198042461094,4599,72,1131,196,-112800
0.15000000000000002,0.5666888962987663,0.31607865818392133,0.8236623963828184,0.4568443051201672,0.752910380182553,0.5017198042461094,2306,2365,234,1093,-122900
0.7000000000000001,0.7929309769923307,0.7514792899408284,0.09570459683496609,0.1697860962566845,0.752910380182553,0.5017198042461094,4629,42,1200,127,-141300
0.75,0.7842614204734911,0.746268656716418,0.037678975131876416,0.07173601147776183,0.752910380182553,0.5017198042461094,4654,17,1277,50,-174800
0.8,0.7799266422140714,0.8181818181818182,0.006782215523737754,0.013452914798206279,0.752910380182553,0.5017198042461094,4669,2,1318,9,-192300
0.8500000000000001,0.7789263087695899,1.0,0.0007535795026375283,0.0015060240963855422,0.752910380182553,0.5017198042461094,4671,0,1326,1,-195900
0.9,0.7787595865288429,0.0,0.0,0.0,0.752910380182553,0.5017198042461094,4671,0,1327,0,-196400
0.9500000000000001,0.7787595865288429,0.0,0.0,0.0,0.752910380182553,0.5017198042461094,4671,0,1327,0,-196400
0.1,0.4289763254418139,0.27126035761011774,0.9374529012810852,0.42076779976323353,0.752910380182553,0.5017198042461094,1329,3342,83,1244,-242800
0.05,0.26058686228742917,0.22917392819797838,0.9909570459683497,0.3722576079263977,0.752910380182553,0.5017198042461094,248,4423,12,1315,-423500
